date,index,ln_index,daily_return
2021-09-23,15052.24,9.619282096311165,0.010377036123704997
2021-09-24,15047.7,9.61898043457799,-0.00030166173317525136
2021-09-27,14969.97,9.61380147340365,-0.0051789611743409125
2021-09-28,14546.68,9.58511806786876,-0.02868340553488835
2021-09-29,14512.44,9.582761491630675,-0.002356576238085495
2021-09-30,14448.58,9.578351418815583,-0.004410072815092647
2021-10-01,14566.7,9.586493380742473,0.008141961926890318
2021-10-04,14255.48,9.56489667317552,-0.0215967075669532
2021-10-05,14433.83,9.577330035815875,0.012433362640354773
2021-10-06,14501.91,9.582035643871734,0.0047056080558594005
2021-10-07,14654.02,9.592469979534046,0.010434335662312222
2021-10-08,14579.54,9.587374454996349,-0.005095524537697571
2021-10-11,14486.2,9.580951751093762,-0.006422703902586591
2021-10-12,14465.92,9.579550817185169,-0.0014009339085934158
2021-10-13,14571.64,9.58683245290975,0.007281635724581292
2021-10-14,14823.43,9.60396431606565,0.01713186315589965
2021-10-15,14897.34,9.608937952506402,0.004973636440752216
2021-10-18,15021.81,9.617258424049872,0.008320471543470376
2021-10-19,15129.09,9.624374659567117,0.007116235517244718
2021-10-20,15121.68,9.623884754672252,-0.0004899048948647788
2021-10-21,15215.7,9.63008306850248,0.006198313830227065
2021-10-22,15090.2,9.621800805484535,-0.008282263017944658
2021-10-25,15226.71,9.630806401542145,0.009005596057610532
2021-10-26,15235.71,9.631397293550192,0.0005908920080468505
2021-10-27,15235.84,9.631405826099405,8.532549212958429e-06
2021-10-28,15448.12,9.645242592074037,0.01383676597463257
2021-10-29,15498.39,9.648491426544634,0.003248834470596762
2021-11-01,15595.92,9.654764620568942,0.0062731940243079265
2021-11-02,15649.6,9.658200636536229,0.0034360159672868207
2021-11-03,15811.58,9.668497861959066,0.010297225422837286
2021-11-04,15940.31,9.676606400084834,0.00810853812576795
2021-11-05,15971.59,9.67856679793127,0.0019603978464353133
2021-11-08,15982.36,9.679240893021726,0.0006740950904564613
2021-11-09,15886.54,9.67322748880974,-0.006013404211985929
2021-11-10,15622.71,9.656480903863637,-0.016746584946103482
2021-11-11,15704.28,9.661688565649614,0.005207661785977535
2021-11-12,15860.96,9.671616022991294,0.009927457341680324
2021-11-15,15853.85,9.671167652017663,-0.00044837097363092937
2021-11-16,15973.86,9.678708915197035,0.007541263179371427
2021-11-17,15921.57,9.675430072626382,-0.00327884257065314
2021-11-18,15993.71,9.679950798928028,0.004520726301645794
2021-11-19,16057.44,9.683927572553271,0.003976773625243624
2021-11-22,15854.76,9.67122504967718,-0.012702522876091749
2021-11-23,15775.14,9.666190562171934,-0.0050344875052452664
2021-11-24,15845.23,9.67062378763974,0.004433225467805002
2021-11-26,15491.66,9.648057093582551,-0.02256669405718803
2021-11-29,15782.83,9.666677919258097,0.018620825675546016
2021-11-30,15537.69,9.651023964223684,-0.015653955034412803
2021-12-01,15254.05,9.632600320547578,-0.018423643676106494
2021-12-02,15381.32,9.640909065124541,0.008308744576963178
2021-12-03,15085.47,9.621487307886056,-0.019421757238484716
2021-12-06,15225.15,9.630703944746314,0.00921663686025731
2021-12-07,15686.92,9.6605825230791,0.029878578332786176
2021-12-08,15786.99,9.666941462098956,0.00635893901985618
2021-12-09,15517.37,9.649715320614565,-0.017226141484391277
2021-12-10,15630.6,9.656985810394664,0.007270489780099254
2021-12-13,15413.28,9.64298475446455,-0.014001055930114248
2021-12-14,15237.64,9.63152396160622,-0.011460792858329683
2021-12-15,15565.58,9.652817345271723,0.02129338366550293
2021-12-16,15180.43,9.627762377294145,-0.025054967977578002
2021-12-17,15169.68,9.627053977855095,-0.0007083994390502113
2021-12-20,14980.94,9.61453400543627,-0.012519972418825631
2021-12-21,15341.09,9.638290128459467,0.023756123023197517
2021-12-22,15521.89,9.650006564673344,0.011716436213877301
2021-12-23,15653.37,9.658441508250204,0.008434943576860476
2021-12-27,15871.26,9.672265205453899,0.013823697203694252
2021-12-28,15781.72,9.666607587192507,-0.0056576182613916615
2021-12-29,15766.22,9.665624955600892,-0.0009826315916150463
2021-12-30,15741.56,9.664059627606647,-0.0015653279942444698
